projeto_id,projeto_nome,projeto_setor,projeto_macrossetor,projeto_impacto,projeto_status,projeto_alcance-geografico,projeto_publico-alvo,proponente_id,proponente_nome,proponente_empresa,proponente_atuacao,proponente_cargo,avaliador_id,avaliador_nome,avaliador_empresa,avaliador_atuacao,avaliador_cargo,avaliacao
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,1189,Deusiele Minho,Google,Tecnologia,CFO,1
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,1371,Nakita Aires Anjos Amorim,UNEP,Sustentabilidade ambiental,CIO,1
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,232,Kender Vilar,Local Government,Serviços Urbanos,Embaixador,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,274,Adalto Tabanez Caetano,Nanobiotix,Nanotecnologia,CIO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,339,Lea Mourão,Maersk,Logística,COO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,523,Divanil Manso,Sephora,Cosméticos e Beleza,COO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,545,Iaci Ximenes,Apple,Tecnologia,CFO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,640,Ianira Cambezes Parracho,Microsoft,Tecnologia,COO,1
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,738,Wilin Aveiro Coelho Barateiro,Google,Tecnologia,CTO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,1034,Marzo Covinha Pires,Microsoft,Tecnologia,CTO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,1355,Agrecio Gago,Goldman Sachs,Finanças,COO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,1396,Nascimento Esteves Barra,Google,Tecnologia wireless,CTO,3
3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários,3,Vlamir Guterres Holanda Pureza,Sesc,Cultura e Entretenimento,COO,1419,Eciane Bragança Mirandela Aires,Google,Inovação e tecnologia,CEO,3
4,CRISPR-Cas9 na Terapia Gênica,Genética,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários,4,Wilene Vila-Chã,Fundación Telefónica,Terceiro Setor,CHRO,657,Clicia Parente,WWF,Conservação Ambiental,CIO,4
4,CRISPR-Cas9 na Terapia Gênica,Genética,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários,4,Wilene Vila-Chã,Fundación Telefónica,Terceiro Setor,CHRO,1172,Thiesa Café,Tesla,Energia renovável,CCO,1
4,CRISPR-Cas9 na Terapia Gênica,Genética,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários,4,Wilene Vila-Chã,Fundación Telefónica,Terceiro Setor,CHRO,1247,Joeci Severiano Uchoa Paulos,Tesla,Infraestrutura de veículos elétricos,COO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,535,Lionesia Faustino Proença,Coursera,Educação e Tecnologia,CCO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,536,Lailce Bernardes Caminha Carvalheiro,Tesla,Tecnologia Automotiva,CMO,5
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,607,Tairon Cidreira,UNESCO,Educação e Cultura,CFO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,686,Gedinaldo Carqueijeiro Tigre,WHO,Saúde Pública,CMO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,727,Joiciane Cadavez,Adobe,Tecnologia,COO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,739,Zila Amado,Amazon,Tecnologia e Comércio,CIO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,789,Tassia Rosado,Google,Tecnologia,CTO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,919,Melki Cabral Quintanilha Paiva,Microsoft,Tecnologia,CMO,4
5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários,5,Jamur Mantas,Acciona,Energia Renovável,COO,1384,Francicleber Barroca Reino,Goldman Sachs,Saúde e bem-estar,Embaixador,4
6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas,6,Willa  Vergueiro,Fundación MAPFRE,Seguros e Assistência Social,CEO,70,Simelia Castanheira Carvalho Castanheda,Adobe,Software,CFO,4
6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas,6,Willa  Vergueiro,Fundación MAPFRE,Seguros e Assistência Social,CEO,467,Celismar Veiga,CERN,Pesquisa em Física,CMO,4
6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas,6,Willa  Vergueiro,Fundación MAPFRE,Seguros e Assistência Social,CEO,575,Josenara Carrasqueira,Siemens,Tecnologia e Engenharia,CIO,4
6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas,6,Willa  Vergueiro,Fundación MAPFRE,Seguros e Assistência Social,CEO,635,Dijailson Adarga,Broad Institute,Genética e Biotecnologia,CMO,4
6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas,6,Willa  Vergueiro,Fundación MAPFRE,Seguros e Assistência Social,CEO,1333,Claudici Vigário Maior Baião,Siemens,Transporte futuro,CLO,4
7,TechBridge: Capacitação em Tecnologia para Jovens em Situação de Risco,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,Funcionários,7,Misangela Félix Botica,Sebrae,Desenvolvimento de Negócios,Embaixador,34,Mizaiane Barrico,Amnesty International,Direitos Humanos,CHRO,2
7,TechBridge: Capacitação em Tecnologia para Jovens em Situação de Risco,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,Funcionários,7,Misangela Félix Botica,Sebrae,Desenvolvimento de Negócios,Embaixador,1273,Sueudes Neiva,Google,Tecnologia comunitária,CEO,2
7,TechBridge: Capacitação em Tecnologia para Jovens em Situação de Risco,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,Funcionários,7,Misangela Félix Botica,Sebrae,Desenvolvimento de Negócios,Embaixador,1412,Ormindo Vasques Flores Curado,UNICEF,Desenvolvimento juvenil,CEO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,22,Georgia Mariz,Google,Tecnologia,Embaixador,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,267,Arzelina Neres Quintana Sardo,Environmental Agency,Sustentabilidade,CCO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,469,Jesulino Minho Torres Regueira,CERN,Pesquisa em Física,COO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,491,Kenid Vilariça Mirandela,Tesla,Automotiva,Embaixador,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,542,Vali Cabreira Vital,Tesla,Tecnologia Automotiva,CIO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,570,Uoston Aleixo Jordão,Siemens,Tecnologia e Engenharia,CHRO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,594,Flavian Banha Pinho Vilarinho,World Bank,Desenvolvimento Econômico,CIO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,630,Iguatemi Vital,UNESCO,Educação e Cultura,CHRO,2
8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários,8,Iracene Camargo,McKinsey & Company,Consultoria de Gestão,CCO,865,Albanio Braga Frias Hernandes,FAO,Agricultura,CMO,2
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,92,Erondes Capucho Benevides Canela,Google,Tecnologia,CIO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,229,Jaison Pimenta,IBM,Tecnologia,CIO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,491,Kenid Vilariça Mirandela,Tesla,Automotiva,Embaixador,5
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,598,Mazio Caires Hernandes Franca,FAO,Agricultura,CHRO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,746,Serliane Galvão Prestes,Google,Tecnologia,COO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,803,Adailton Telinhos Dourado,WWF,Conservação Ambiental,CHRO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,1087,Darlei Neto,Johnson & Johnson,Farmacêutica,CCO,4
9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo",9,Noelia Franca Conde Arantes,Farmax,Farmacêutica,CHRO,1350,Leoneide Milheiriço Pinheiro,Siemens,Planejamento urbano,CCO,4
10,Iniciativa de Educação Financeira,Educação,Educação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo",10,Amerita Azenha,Thyssenkrupp,Indústria Metalúrgica,Embaixador,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,1
10,Iniciativa de Educação Financeira,Educação,Educação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo",10,Amerita Azenha,Thyssenkrupp,Indústria Metalúrgica,Embaixador,455,Gersino Fialho Lamego Breia,Coursera,Educação e Tecnologia,Embaixador,1
10,Iniciativa de Educação Financeira,Educação,Educação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo",10,Amerita Azenha,Thyssenkrupp,Indústria Metalúrgica,Embaixador,1287,Neide Barbosa,Google,Educação e emprego,Embaixador,1
10,Iniciativa de Educação Financeira,Educação,Educação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo",10,Amerita Azenha,Thyssenkrupp,Indústria Metalúrgica,Embaixador,1358,Gersone Pereira Café Tristão,SpaceX,Tecnologia de transporte,CFO,1
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,392,Lidia Alcântara Ferraz Pacheco,Google,Tecnologia,Embaixador,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,457,Euripia Guedes,UNESCO,Educação e Cultura,CHRO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,617,Floripia Liberato Faro Sobral,UNICEF,Assistência Humanitária,CTO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,637,Lins Marcondes Moita,HP,Tecnologia,CFO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,741,Necila Dorneles Veloso,Adobe,Tecnologia,CLO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,949,Stanrley Abrantes,LinkedIn,Tecnologia e Networking,CIO,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,1024,Elivelton Morão Nolasco Jobim,UNICEF,Educação,Embaixador,4
11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários,11,Darleti Negromonte Taveiros,Wacker Chemie AG,Química,CCO,1361,Idalvo Félix Vasques,UNICEF,Saúde e desenvolvimento,CCO,4
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,121,Juscelaine Abasto,H&M,Varejo de Moda,CHRO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,171,Gleicieli Severo Castelhano,Environmental Agency,Meteorologia,CCO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,286,Marilede Holanda Conde Laureano,Environmental Protection Agency,Monitoramento Ambiental,COO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,487,Eudorio Belo Travassos Pessoa,LinkedIn,Tecnologia e Redes Sociais,CTO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,543,Raimindo Keil Velasques Vilaverde,Siemens,Tecnologia e Engenharia,CHRO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,570,Uoston Aleixo Jordão,Siemens,Tecnologia e Engenharia,CHRO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,747,Lude Moita Borba Vides,Adobe,Tecnologia,CFO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,1040,Ludinaldo Canedo,Amazon,Tecnologia e Comércio Eletrônico,CTO,5
12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População,12,Sanuza Dinis Setúbal,SaúdeMais,Saúde,CMO,1273,Sueudes Neiva,Google,Tecnologia comunitária,CEO,5
13,EcoDrive Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Empresas,13,Rendel Frade Keil,SaúdeTotal,Saúde,CEO,35,Jesana Sandinha Bento,Embraer,Aeroespacial,Embaixador,5
13,EcoDrive Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Empresas,13,Rendel Frade Keil,SaúdeTotal,Saúde,CEO,869,Macieli Bivar Vilarinho Ferro,UNDP,Desenvolvimento Econômico,CMO,5
13,EcoDrive Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Empresas,13,Rendel Frade Keil,SaúdeTotal,Saúde,CEO,917,Claudenita Miguel Godinho Júdice,Microsoft,Tecnologia,CMO,5
13,EcoDrive Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Empresas,13,Rendel Frade Keil,SaúdeTotal,Saúde,CEO,1003,Lindeilson Jordão,IBM,Tecnologia,CIO,5
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,179,Eder Breia Sousa Rebocho,Nonprofit Organization,Ajuda Humanitária,CLO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,237,Erizete Quintal Morão,Slack,Tecnologia e Colaboração,CIO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,527,Adrielisson Carreira Rolim Porciúncula,CRISPR,Therapeutics Biotecnologia,CTO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,694,Irinice Goulart,Google,Tecnologia,CFO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,816,Gilmar Torres Bensaúde,Google,Tecnologia,COO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,821,Givan Amaro,Google,Tecnologia,CEO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,1085,Hildegar Basílio Madeira,Google,Tecnologia,CHRO,3
14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores,14,Rosentina Bicudo Balsemão,Açotubo,Distribuição e Serviços de Aço,CCO,1234,Udi Álvaro,Siemens,Casa inteligente,CLO,3
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,62,Julinda Caminha Vilanova,Saatchi & Saatchi,Publicidade,CFO,3
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,134,Jarmiro Marreiro Vieira,Greenpeace,Ambientalismo,CMO,3
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,205,Elsion Veloso,Environmental NGO,Sustentabilidade Ambiental,CFO,1
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,880,Rudival Bessa Barroqueiro,Google,Tecnologia,CHRO,3
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,923,Dalete Vasconcelos Calado,Google,Tecnologia,COO,3
15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas,15,Grasilene Amado,Thyssenkrupp,Indústria Metalúrgica,Embaixador,1195,Mireli Xisto,Siemens,Energia renovável,CLO,3
16,ZêniteZaffre,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Local,"Consumidores, Empresas e Governo",16,Eliana Coutinho Palos,Wacker Chemie AG,Química,Embaixador,160,Elissana Murteira Coronel,Disney,Entretenimento,CHRO,4
